Input,Output
00000,B2-2
00001,B2-2
00002,B2-2
00003,B2-2
00004,B2-2
00005,B2-2
00006,B2-2
00007,B2-1
00008,B2-1
00009,B2-1
00010,B2-2
00011,B2-1
00012,B2-1
00013,B2-2
00014,B2-2
00015,B2-2
00016,B2-1
00017,B2-1
00018,B2-1
00019,B29-2
00020,B2-1
00021,B2-2
00022,B2-1
00023,B2-1
00024,B2-1
00025,B2-1
00026,B2-1
00027,B2-1
00028,B2-1
00029,B2-1
00030,B2-1
00031,B2-1
00032,B2-1
00033,B2-1
00034,B2-1
00035,B2-1
00036,B5-1
00037,None
00038,B8-1
00039,B7-1
00040,None
00041,B32-1
00042,B1-2
00043,B34-1
00044,B25-2
00045,B13-2
00046,B23-2
00047,B2-2
00048,B7-1
00049,B31-2
00050,B15-2
00051,B2-2
00052,B1-2
00053,B31-1
00054,B39-2
00055,B15-1
00056,B20-1
00057,B31-2
00058,B17-2
00059,B31-2
00060,B15-2
00061,B37-1
00062,B14-1
00063,B36-2
00064,B15-2
00065,B34-1
00066,B29-1
00067,B29-1
00068,B2-1
00069,B29-2
00070,B29-2
00071,B29-2
00072,B29-2
00073,B29-2
00074,B2-1
00075,B37-2
00076,B15-2
00077,B29-2
00078,B29-1
00079,B29-1
00080,B29-1
00081,B29-1
00082,B29-1
00083,B29-1
00084,B29-1
00085,B29-1
00086,B29-1
00087,B29-1
00088,B29-1
00089,B29-1
00090,B29-1
00091,B29-2
00092,B29-1
00093,B29-1
00094,B2-2
00095,B2-2
00096,B14-2
00097,B15-2
00098,B29-11
00099,B37-1
00100,None
00101,None
00102,None
00103,None
00104,None
00105,None
00106,None
00107,None
00108,B15-2
00109,B1-2
00110,None
00111,None
00112,None
00113,None
00114,B35-1
00115,B33-2
00116,B37-1
00117,B37-1
00118,B29-11
00119,B35-1
00120,B15-2
00121,B15-2
00122,B2-2
00123,B22-1
00124,B7-1
00125,B2-2
00126,B31-2
00127,B18-2
00128,B31-2
00129,B15-2
00130,B15-2
00131,B1-2
00132,B37-1
00133,B11-2
00134,B2-2
00135,B35-1
00136,B27-2
00137,B21-2
00138,B1-1
00139,B15-2
00140,B37-1
00141,None
00142,None
00143,None
00144,None
00145,None
00146,None
00147,B35-1
00148,B15-2
00149,B35-1
00150,B29-11
00151,B15-2
00152,B29-11
00153,B32-1
00154,B39-2
00155,B37-1
00156,B37-1
00157,B24-2
00158,B19-2
00159,B39-2
00160,B22-2
00161,B31-1
00162,B39-2
00163,B31-2
00164,B2-2
00165,B2-2
00166,B15-2
00167,B39-2
00168,B37-1
00169,B22-2
00170,B29-1
00171,B29-1
00172,B29-1
00173,B29-1
00174,B1-2
00175,B1-2
00176,B1-1
00177,B1-1
00178,B1-1
00179,B1-1
00180,B1-1
00181,B1-1
00182,B1-1
00183,B1-1
00184,B1-1
00185,B1-1
00186,B1-1
00187,B1-1
00188,B1-1
00189,B1-1
00190,B1-1
00191,B1-1
00192,B1-1
00193,B1-1
00194,B1-1
00195,B1-1
00196,B1-1
00197,B1-1
00198,B1-1
00199,B1-1
00200,B1-1
00201,B1-1
00202,B1-1
00203,B1-1
00204,B1-1
00205,B1-1
00206,B1-1
00207,B1-1
00208,B1-1
00209,B1-1
00210,B1-1
00211,B1-1
00212,B1-1
00213,B1-1
00214,B1-1
00215,B1-1
00216,B1-1
00217,B1-1
00218,B1-1
00219,B1-1
00220,B1-1
00221,B1-1
00222,B1-1
00223,B1-1
00224,B1-1
00225,B1-1
00226,B1-1
00227,B1-1
00228,B1-1
00229,B1-1
00230,B1-1
00231,B1-1
00232,B1-1
00233,B1-1
00234,B1-1
00235,B1-2
00236,B1-2
00237,B1-2
00238,B1-2
00239,B1-2
00240,B1-2
00241,B1-2
00242,B1-2
00243,B1-2
00244,B1-2
00245,B1-2
00246,B1-2
00247,B1-2
00248,B1-2
00249,B1-2
00250,B1-2
00251,B1-2
00252,B1-1
00253,B1-2
00254,B1-2
00255,B1-2
00256,B1-2
00257,B1-2
00258,B1-2
00259,B1-2
00260,B1-2
00261,B1-2
00262,B1-2
00263,B1-2
00264,B1-2
00265,B1-1
00266,B1-1
00267,B1-1
00268,B1-1
00269,B1-1
00270,B1-1
00271,B1-1
00272,B1-1
00273,B1-1
00274,B1-1
00275,B1-1
00276,B1-1
00277,B1-1
00278,B1-1
00279,B1-1
00280,B1-1
00281,B1-1
00282,B1-1
00283,B1-1
00284,B1-1
00285,B1-1
00286,B1-1
00287,B1-1
00288,B1-1
00289,B1-1
00290,B1-1
00291,B1-1
00292,B1-1
00293,B1-1
00294,B1-1
00295,B1-1
00296,B1-1
00297,B1-1
00298,B1-1
00299,B1-1
00300,B1-1
00301,B1-1
00302,B1-1
00303,B1-1
00304,B1-1
00305,B1-1
00306,B1-1
00307,B1-1
00308,B1-1
00309,B1-1
00310,B1-1
00311,B1-1
00312,B1-1
00313,B1-1
00314,B1-1
00315,B1-1
00316,B1-1
00317,B1-1
00318,B1-1
00319,B1-1
00320,B1-1
00321,B1-1
00322,B1-1
00323,B1-1
00324,B1-1
00325,B1-1
00326,B1-1
00327,B1-1
00328,B1-1
00329,B1-1
00330,B1-1
00331,B1-1
00332,B1-1
00333,B1-1
00334,B1-1
00335,B1-1
00336,B1-1
00337,B1-1
00338,B1-1
00339,B1-1
00340,B1-1
00341,B1-1
00342,B1-1
00343,B1-1
00344,B1-1
00345,B1-1
00346,B1-1
00347,B1-1
00348,B1-1
00349,B1-1
00350,B1-1
00351,B1-1
00352,B1-1
00353,B1-2
00354,B1-1
00355,B1-1
00356,B1-1
00357,B1-1
00358,B1-1
00359,B1-1
00360,B1-1
00361,B1-1
00362,B1-1
00363,B1-1
00364,B1-1
00365,B1-1
00366,B1-1
00367,B1-1
00368,B1-1
00369,B1-1
00370,B1-1
00371,B1-1
00372,B1-1
00373,B1-1
00374,B1-1
00375,B1-1
00376,B1-1
00377,B31-1
00378,B33-1
00379,B2-2
00380,B2-1
00381,B2-2
00382,B2-2
00383,B2-2
00384,B2-2
00385,B2-2
00386,B2-2
00387,B2-2
00388,B2-1
00389,B2-1
00390,B2-1
00391,B2-1
00392,B2-1
00393,B2-1
00394,B2-1
00395,B2-1
00396,B2-1
00397,B2-1
00398,B2-1
00399,B2-1
00400,B2-1
00401,B2-1
00402,B2-1
00403,B2-1
00404,B2-1
00405,B2-1
00406,B2-1
00407,B2-1
00408,B2-1
00409,B2-2
00410,B2-1
00411,B2-1
00412,B2-1
00413,B2-2
00414,B2-2
00415,B2-1
00416,B2-1
00417,B2-1
00418,B2-1
00419,B2-1
00420,B2-1
00421,B2-1
00422,B2-1
00423,B2-1
00424,B2-1
00425,B2-1
00426,B2-1
00427,B2-1
00428,B2-1
00429,B2-1
00430,B2-1
00431,B2-1
00432,B2-1
00433,B2-1
00434,B2-1
00435,B2-1
00436,B2-2
00437,B2-2
00438,B2-2
00439,B19-2
00440,B21-2
00441,B39-2
00442,B36-2
00443,B1-2
00444,B29-1
00445,B29-1
00446,B29-1
00447,B2-2
00448,B2-2
00449,B2-2
00450,B2-2
00451,B2-2
00452,B2-2
00453,B2-2
00454,B2-2
00455,B2-2
00456,B2-2
00457,B2-2
00458,B2-2
00459,B19-2
00460,B36-1
00461,B15-2
00462,B29-1
00463,B4-2
00464,B29-1
00465,B4-2
00466,B4-2
00467,B4-2
00468,B37-2
00469,B4-2
00470,B7-2
00471,B15-2
00472,B4-2
00473,B15-2
00474,B4-2
00475,B4-2
00476,B1-2
00477,B4-2
00478,B4-2
00479,B39-2
00480,B37-1
00481,B4-2
00482,B4-2
00483,B37-1
00484,B4-1
00485,B29-3
00486,B3-1
00487,B3-1
00488,B3-1
00489,B3-1
00490,B3-1
00491,B3-1
00492,B3-1
00493,B3-1
00494,B3-1
00495,B3-2
00496,B3-1
00497,B3-1
00498,B3-1
00499,B3-1
00500,B3-1
00501,B3-1
00502,B3-1
00503,B3-1
00504,B3-1
00505,B3-1
00506,B3-1
00507,B3-1
00508,B3-1
00509,B3-1
00510,B3-1
00511,B3-1
00512,B3-1
00513,B3-1
00514,B3-1
00515,B3-1
00516,B3-1
00517,B3-1
00518,B3-1
00519,B3-1
00520,B3-1
00521,B3-1
00522,B3-1
00523,B3-1
00524,B3-1
00525,B3-1
00526,B3-1
00527,B3-1
00528,B3-1
00529,B3-1
00530,B3-1
00531,B3-1
00532,B3-1
00533,B3-1
00534,B3-1
00535,B3-1
00536,B3-1
00537,B3-1
00538,B3-1
00539,B3-1
00540,B3-1
00541,B3-2
00542,B3-1
00543,B3-2
00544,B3-2
00545,B3-2
00546,B3-2
00547,B3-1
00548,B3-1
00549,B3-1
00550,B3-1
00551,B3-1
00552,B39-2
00553,B29-2
00554,B1-2
00555,B29-3
00556,B15-2
00557,B29-3
00558,B13-2
00559,B29-11
00560,B15-2
00561,B29-3
00562,B37-1
00563,B33-2
00564,B29-3
00565,B4-2
00566,B4-2
00567,B4-1
00568,B4-1
00569,B4-2
00570,B4-2
00571,B4-2
00572,B4-2
00573,B4-2
00574,B4-2
00575,B4-2
00576,B4-2
00577,B4-2
00578,B4-1
00579,B4-2
00580,B4-2
00581,B4-2
00582,B4-2
00583,B4-2
00584,B4-1
00585,B4-2
00586,B4-1
00587,B4-2
00588,B4-2
00589,B4-2
00590,B4-2
00591,B4-1
00592,B4-2
00593,B4-1
00594,B4-2
00595,B4-1
00596,B4-1
00597,B4-1
00598,B4-2
00599,B4-2
00600,B4-2
00601,B4-1
00602,B4-1
00603,B4-2
00604,B4-2
00605,B4-2
00606,B4-1
00607,B4-2
00608,B4-2
00609,B4-2
00610,B4-2
00611,B4-2
00612,B4-2
00613,B4-1
00614,B4-2
00615,B4-2
00616,B4-2
00617,B4-1
00618,B4-2
00619,B4-2
00620,B4-2
00621,B4-2
00622,B4-1
00623,B4-2
00624,B4-2
00625,B4-2
00626,B4-2
00627,B46-1
00628,B33-1
00629,B29-11
00630,B37-2
00631,B6-2
00632,B29-11
00633,B15-2
00634,B39-2
00635,B36-1
00636,B35-1
00637,B29-11
00638,B31-2
00639,B32-2
00640,B29-5
00641,B29-5
00642,B29-5
00643,B34-2
00644,B5-2
00645,B5-1
00646,B5-1
00647,B5-2
00648,B5-1
00649,B5-1
00650,B5-2
00651,B5-1
00652,B5-2
00653,B5-2
00654,B5-2
00655,B5-2
00656,B5-1
00657,B5-1
00658,B5-1
00659,B5-1
00660,B5-2
00661,B5-2
00662,B5-1
00663,B5-1
00664,B5-1
00665,B5-2
00666,B5-2
00667,B15-2
00668,B6-2
00669,B6-2
00670,B39-2
00671,B23-2
00672,B39-2
00673,B31-2
00674,B8-2
00675,B8-2
00676,B8-2
00677,B8-2
00678,B8-2
00679,B31-1
00680,B19-2
00681,B29-5
00682,B29-5
00683,B29-5
00684,B6-1
00685,B6-1
00686,B6-1
00687,B6-1
00688,B6-1
00689,B6-2
00690,B6-2
00691,B6-2
00692,B6-2
00693,B6-2
00694,B6-2
00695,B6-2
00696,B6-2
00697,B6-2
00698,B6-2
00699,B6-2
00700,B6-2
00701,B6-2
00702,B6-2
00703,B6-2
00704,B6-2
00705,B6-2
00706,B6-2
00707,B6-2
00708,B6-2
00709,B6-2
00710,B6-1
00711,B6-1
00712,B6-2
00713,B6-2
00714,B6-2
00715,B36-2
00716,B15-2
00717,B15-2
00718,B36-2
00719,B39-2
00720,B8-2
00721,B36-2
00722,B39-2
00723,B31-2
00724,B34-2
00725,B8-2
00726,B8-2
00727,B8-2
00728,B8-2
00729,B8-2
00730,B8-2
00731,B8-2
00732,B8-2
00733,B29-7
00734,B29-7
00735,B7-2
00736,B7-2
00737,B7-2
00738,B7-2
00739,B7-2
00740,B7-1
00741,B7-1
00742,B7-2
00743,B7-2
00744,B7-2
00745,B7-1
00746,B7-1
00747,B7-2
00748,B7-2
00749,B7-2
00750,B7-1
00751,B7-1
00752,B7-1
00753,B7-1
00754,B7-1
00755,B7-1
00756,B7-1
00757,B7-1
00758,B7-1
00759,B7-1
00760,B7-1
00761,B7-1
00762,B7-1
00763,B7-1
00764,B7-1
00765,B7-1
00766,B7-1
00767,B7-1
00768,B7-1
00769,B7-2
00770,B7-1
00771,B8-1
00772,B20-1
00773,B46-5
00774,B25-1
00775,B33-2
00776,B35-2
00777,B31-2
00778,B15-2
00779,B1-1
00780,B15-2
00781,B15-2
00782,B23-2
00783,B31-2
00784,B1-2
00785,B8-2
00786,B15-2
00787,B8-2
00788,B8-2
00789,B8-1
00790,B8-1
00791,B8-1
00792,B8-1
00793,B8-1
00794,B8-1
00795,B8-2
00796,B8-1
00797,B8-1
00798,B8-1
00799,B8-1
00800,B8-1
00801,B8-1
00802,B8-1
00803,B8-1
00804,B8-1
00805,B8-1
00806,B8-1
00807,B8-1
00808,B8-1
00809,B8-2
00810,B8-2
00811,B46-5
00812,B46-5
00813,B39-2
00814,B13-2
00815,B15-2
00816,B39-2
00817,B1-2
00818,B31-2
00819,B20-2
00820,B39-2
00821,B15-2
00822,B13-2
00823,B33-2
00824,B29-8
00825,B1-2
00826,B9-1
00827,B9-1
00828,B9-1
00829,B9-1
00830,B9-1
00831,B9-1
00832,B9-1
00833,B9-1
00834,B9-1
00835,B9-1
00836,B9-1
00837,B9-1
00838,B9-1
00839,B9-1
00840,B9-1
00841,B9-1
00842,B9-1
00843,B9-1
00844,B9-1
00845,B9-1
00846,B9-1
00847,B9-1
00848,B9-1
00849,B9-1
00850,B9-2
00851,B29-9
00852,B29-9
00853,B29-9
00854,B39-2
00855,B15-2
00856,B39-2
00857,B15-2
00858,B29-9
00859,B27-2
00860,B15-1
00861,B29-9
00862,B10-2
00863,B10-1
00864,B10-1
00865,B10-1
00866,B10-1
00867,B10-1
00868,B10-1
00869,B10-1
00870,B10-1
00871,B10-1
00872,B10-1
00873,B10-2
00874,B10-2
00875,B10-2
00876,B10-1
00877,B10-1
00878,B10-1
00879,B10-2
00880,B10-2
00881,B10-1
00882,B10-2
00883,B10-2
00884,B10-1
00885,B10-2
00886,B10-1
00887,B10-2
00888,B15-2
00889,B15-1
00890,B17-2
00891,B24-2
00892,B6-1
00893,B39-2
00894,B15-2
00895,B29-11
00896,B29-11
00897,B29-11
00898,B29-11
00899,B29-11
00900,B15-1
00901,B29-11
00902,B29-11
00903,B29-11
00904,B11-2
00905,B11-2
00906,B11-2
00907,B11-2
00908,B11-2
00909,B11-2
00910,B11-2
00911,B11-2
00912,B11-2
00913,B11-2
00914,B11-2
00915,B11-2
00916,B11-2
00917,B11-2
00918,B11-2
00919,B11-2
00920,B11-2
00921,B11-2
00922,B11-2
00923,B11-2
00924,B11-2
00925,B11-2
00926,B29-11
00927,B12-1
00928,B12-1
00929,B12-1
00930,B12-1
00931,B12-2
00932,B12-2
00933,B15-1
00934,B15-2
00935,B29-11
00936,B29-11
00937,B29-11
00938,B29-11
00939,B29-11
00940,B29-11
00941,B29-11
00942,B12-2
00943,B12-2
00944,B12-1
00945,B12-1
00946,B12-1
00947,B12-1
00948,B12-1
00949,B12-1
00950,B12-1
00951,B12-1
00952,B12-1
00953,B12-1
00954,B12-1
00955,B12-1
00956,B12-1
00957,B12-1
00958,B12-1
00959,B12-1
00960,B12-1
00961,B12-1
00962,B12-1
00963,B12-1
00964,B12-1
00965,B12-1
00966,B12-1
00967,B12-1
00968,B12-1
00969,B12-1
00970,B12-1
00971,B12-1
00972,B12-2
00973,B12-2
00974,B39-2
00975,B39-2
00976,B2-2
00977,B14-2
00978,B14-2
00979,B12-1
00980,B33-2
00981,B14-2
00982,B14-2
00983,B14-2
00984,B14-2
00985,B15-2
00986,B13-2
00987,B13-1
00988,B13-1
00989,B13-1
00990,B13-1
00991,B13-1
00992,B13-1
00993,B13-1
00994,B13-1
00995,B13-1
00996,B13-1
00997,B13-1
00998,B13-1
00999,B13-1
01000,B13-1
01001,B13-1
01002,B13-1
01003,B13-1
01004,B13-1
01005,B13-2
01006,B13-1
01007,B13-1
01008,B13-1
01009,B13-1
01010,B13-1
01011,None
01012,None
01013,None
01014,None
01015,None
01016,None
01017,None
01018,B13-2
01019,B39-2
01020,B30-4
01021,B1-2
01022,B31-2
01023,B7-1
01024,B15-1
01025,B33-2
01026,B34-2
01027,B32-1
01028,B31-2
01029,B14-2
01030,B14-2
01031,B14-2
01032,B14-2
01033,B14-2
01034,B14-2
01035,B14-2
01036,B14-2
01037,B14-2
01038,B14-2
01039,B14-2
01040,B14-2
01041,B14-2
01042,B14-2
01043,B14-2
01044,B14-2
01045,B14-2
01046,B14-2
01047,B14-2
01048,B14-2
01049,B14-2
01050,B31-2
01051,B37-1
01052,B15-2
01053,B6-1
01054,B10-1
01055,B31-2
01056,B16-2
01057,B16-2
01058,B34-1
01059,B15-2
01060,B16-2
01061,B25-1
01062,B31-2
01063,B15-2
01064,B15-2
01065,B15-2
01066,B15-2
01067,B15-2
01068,B15-2
01069,B15-2
01070,B15-2
01071,B15-2
01072,B15-2
01073,B15-2
01074,B15-2
01075,B15-2
01076,B15-2
01077,B15-2
01078,B15-2
01079,B15-2
01080,B15-2
01081,B15-2
01082,B15-2
01083,B15-2
01084,B15-2
01085,B15-2
01086,B15-2
01087,B15-2
01088,B15-2
01089,B15-2
01090,B31-2
01091,B16-2
01092,B1-1
01093,B19-2
01094,B6-1
01095,B35-1
01096,B39-2
01097,B33-1
01098,B15-2
01099,B38-2
01100,B39-2
01101,B16-2
01102,B16-1
01103,B16-1
01104,B16-2
01105,B16-1
01106,B16-1
01107,B16-2
01108,B16-1
01109,B16-1
01110,B16-1
01111,B16-2
01112,B16-2
01113,B16-2
01114,B16-2
01115,B16-2
01116,B16-2
01117,B16-2
01118,B16-2
01119,B16-2
01120,B16-2
01121,B16-2
01122,B16-2
01123,B16-2
01124,B16-1
01125,B16-2
01126,B16-2
01127,B16-2
01128,B16-2
01129,B16-2
01130,B16-2
01131,B16-2
01132,B16-2
01133,B15-2
01134,B15-2
01135,B37-2
01136,B10-1
01137,B18-2
01138,B15-2
01139,B18-2
01140,B33-2
01141,B32-1
01142,B18-2
01143,B18-2
01144,B18-2
01145,B18-2
01146,B32-2
01147,B17-2
01148,B17-2
01149,B17-2
01150,B17-2
01151,B17-2
01152,B17-2
01153,B17-2
01154,B17-2
01155,B17-2
01156,B17-2
01157,B17-2
01158,B17-2
01159,B17-2
01160,B17-2
01161,B17-2
01162,B17-2
01163,B17-2
01164,B17-2
01165,B17-2
01166,B17-2
01167,B17-2
01168,B17-2
01169,B17-2
01170,B17-2
01171,B17-2
01172,B12-1
01173,B13-2
01174,B30-3
01175,B21-2
01176,B7-1
01177,B15-1
01178,B15-1
01179,B34-2
01180,B31-2
01181,B32-1
01182,B36-2
01183,B4-2
01184,B18-2
01185,B18-1
01186,B18-1
01187,B18-1
01188,B18-2
01189,B18-2
01190,B18-1
01191,B18-1
01192,B18-2
01193,B18-2
01194,B18-2
01195,B8-1
01196,B18-1
01197,B18-1
01198,B39-2
01199,B9-1
01200,B35-1
01201,B37-2
01202,B18-2
01203,B18-1
01204,B18-2
01205,B18-2
01206,B18-2
01207,B18-2
01208,B18-2
01209,B18-2
01210,B18-2
01211,B18-2
01212,B39-2
01213,B37-1
01214,B20-2
01215,B29-11
01216,B33-2
01217,B20-2
01218,B20-2
01219,B20-2
01220,B37-1
01221,B31-1
01222,B20-2
01223,B39-2
01224,B15-2
01225,B15-2
01226,B19-2
01227,B19-2
01228,B19-2
01229,B19-2
01230,B19-2
01231,B19-2
01232,B19-2
01233,B19-2
01234,B19-2
01235,B19-2
01236,B19-2
01237,B19-2
01238,B19-1
01239,B19-2
01240,B19-2
01241,B19-1
01242,B19-2
01243,B19-2
01244,B19-2
01245,B19-2
01246,B19-2
01247,B19-2
01248,B19-2
01249,B19-2
01250,B19-2
01251,B19-2
01252,B19-2
01253,B19-2
01254,B19-2
01255,B19-2
01256,B19-2
01257,B19-2
01258,B19-2
01259,B19-2
01260,B19-2
01261,B19-2
01262,B19-2
01263,B19-2
01264,B19-2
01265,B19-2
01266,B19-2
01267,B19-2
01268,B19-2
01269,B19-2
01270,B19-2
01271,B19-2
01272,B19-2
01273,B19-2
01274,B19-2
01275,B19-2
01276,B31-2
01277,B25-1
01278,B15-2
01279,B33-2
01280,B37-1
01281,B21-2
01282,B39-2
01283,B39-2
01284,B15-2
01285,B15-2
01286,B15-2
01287,B39-2
01288,B15-1
01289,B15-2
01290,B1-2
01291,B37-1
01292,B15-2
01293,B20-2
01294,B20-2
01295,B20-2
01296,B20-2
01297,B20-2
01298,B15-2
01299,B20-1
01300,B20-2
01301,B20-2
01302,B20-2
01303,B20-2
01304,B20-2
01305,B20-2
01306,B20-2
01307,B20-2
01308,B20-2
01309,B20-2
01310,B20-2
01311,B20-2
01312,B20-2
01313,B20-1
01314,B20-1
01315,B20-1
01316,B20-1
01317,B15-2
01318,B39-2
01319,B20-2
01320,B20-2
01321,B20-2
01322,B20-2
01323,B15-2
01324,B31-2
01325,B39-2
01326,B22-2
01327,B22-2
01328,B29-11
01329,B31-1
01330,B22-2
01331,B22-2
01332,B22-2
01333,B22-2
01334,B22-2
01335,B21-2
01336,B21-2
01337,B21-2
