Input,Output,SMA,WMA,EMA,SG
0,B2-2,B29-3,B29-5,B2-2,B2-2
1,B2-2,B29-5,B29-8,B2-2,B1-1
2,B2-2,B29-7,B29-11,B2-2,B3-1
3,None,B29-9,B14-1,B3-1,B6-1
4,None,B29-11,B17-2,B5-1,B29-11
5,None,B14-1,B18-1,B7-2,B31-1
6,B36-2,B14-1,B17-2,B9-2,B37-1
7,B39-2,B15-2,B16-1,B11-2,B35-1
8,B15-2,B15-2,B14-1,B11-2,B22-1
9,B27-2,B15-2,B13-2,B13-2,B22-1
10,B33-1,B15-2,B12-1,B14-1,B19-2
11,B7-1,B15-2,B12-1,B13-2,B10-1
12,None,B13-2,B10-1,B13-2,B6-2
13,B7-1,B13-2,B12-1,B12-1,B7-1
14,None,B13-2,B29-11,B12-1,B7-1
15,B8-2,B29-10,B29-10,B12-1,B11-2
16,B30-2,B10-1,B11-2,B12-1,B29-8
17,B4-2,B11-2,B29-11,B11-2,B13-2
18,B37-1,B29-11,B14-1,B12-1,B31-1
19,B31-2,B13-2,B14-1,B12-1,B29+-1
20,B1-2,B13-2,B14-1,B12-1,B8-1
21,B15-1,B14-1,B15-2,B12-1,B11-2
22,B31-2,B14-1,B14-1,B12-1,B33-1
23,B19-2,B16-1,B16-1,B12-1,B32-2
24,B15-2,B14-1,B15-2,B13-2,B14-2
25,B9-1,B13-2,B13-2,B12-1,B14-1
26,B33-2,B14-1,B13-2,B13-2,B29-11
27,B10-2,B14-1,B12-1,B13-2,B32-2
28,B39-2,B14-1,B14-1,B13-2,B17-2
29,B10-2,B14-1,B14-1,B13-2,B29-11
30,B1-2,B13-2,B13-2,B13-2,B6-2
31,B15-2,B13-2,B29-11,B13-2,B8-1
32,B29-9,B12-1,B12-1,B13-2,B32-2
33,B39-2,B29-11,B11-2,B13-2,B31-1
34,B10-1,B11-2,B11-2,B13-2,B15-2
35,B10-1,B29-10,B29-10,B13-2,B8-1
36,B10-1,B13-2,B29-11,B13-2,B10-1
37,B10-1,B29-11,B29-10,B13-2,B10-1
38,B10-1,B11-2,B10-1,B13-2,B10-1
39,B29-9,B10-1,B29-10,B12-1,B9-2
40,B10-1,B29-11,B13-2,B12-1,B29+-1
41,B36-1,B29-11,B29-11,B13-2,B14-1
42,B3-2,B29-11,B14-1,B12-1,B29-8
43,B5-1,B29-11,B29-11,B12-1,B5-1
44,B15-2,B29-11,B29-11,B12-1,B17-2
45,B39-2,B29-11,B29-11,B13-2,B32-2
46,B7-2,B29-11,B29-10,B12-1,B31-1
47,B33-2,B29-10,B29-9,B13-2,B29-11
48,B7-2,B29-10,B29-9,B29-11,B29-11
49,B29-7,B29-11,B29-10,B29-11,B29-6
50,B29-7,B29-11,B29-11,B29-11,B29-7
51,B29-7,B29-10,B29-11,B29-11,B29-7
52,B29-7,B29-10,B29-10,B29-11,B29-6
53,B29-7,B29-11,B14-1,B29-11,B29-10
54,B33-1,B29-11,B29+-1,B29-11,B31-1
55,B33-2,B29-11,B14-1,B29-11,B31-1
56,B29-7,B14-1,B29+-1,B29-11,B29-8
57,B29-7,B29+-1,B30-4,B29-11,B29-11
58,B41-1,B30-4,B31-1,B29-11,B35-1
59,None,B31-1,B32-2,B29-11,B18-1
60,B7-1,B31-1,B33-1,B29-11,B14-1
61,B37-2,B32-2,B19-2,B29-11,B30-4
62,B31-2,B17-2,B17-2,B13-2,B35-4
63,B37-1,B18-1,B17-2,B13-2,B34-2
64,B20-2,B16-1,B15-2,B13-2,B22-1
65,B35-1,B15-2,B13-2,B13-2,B22-1
66,B21-1,B15-2,B11-2,B13-2,B16-1
67,B5-1,B13-2,B10-1,B13-2,B13-1
68,B15-2,B12-1,B9-2,B13-2,B9-2
69,B5-2,B10-1,B7-2,B13-2,B9-2
70,B5-2,B9-2,B6-1,B13-2,B4-1
71,B5-2,B7-2,B6-1,B13-2,B5-2
72,B5-2,B6-1,B6-1,B13-2,B6-1
73,B5-2,B7-2,B7-2,B29-11,B4-1
74,B1-2,B7-2,B9-2,B29-11,B3-2
75,B5-2,B7-2,B29-8,B29-11,B4-1
76,B8-1,B29-8,B29-10,B29-11,B8-1
77,None,B10-1,B13-2,B29-11,B8-1
78,B10-1,B29-10,B14-1,B29-11,B14-1
79,B35-2,B13-2,B30-4,B29-11,B13-2
80,B6-1,B29+-1,B32-2,B29-11,B29+-1
81,B35-1,B30-4,B33-1,B29-11,B16-1
82,B20-2,B31-1,B33-1,B29-11,B34-2
83,B31-2,B31-1,B32-2,B29-11,B33-1
84,B37-1,B31-1,B16-1,B13-2,B37-2
85,B39-2,B16-1,B15-2,B13-2,B37-1
86,B31-1,B16-1,B14-1,B13-2,B35-1
87,B33-1,B16-1,B14-2,B13-2,B31-1
88,B29-11,B16-1,B15-1,B13-2,B12-1
89,B46-7,B14-1,B12-2,B13-2,B43-3
90,B46-7,B14-1,B13-2,B13-2,B46-7
91,None,B12-1,B11-2,B13-2,B43-5
92,None,B11-2,B10-1,B13-2,B44-2
93,B21-1,B10-1,B10-1,B13-2,B14-2
94,B1-2,B10-1,B29-10,B13-2,B29-11
95,B31-2,B11-2,B29-11,B13-2,B29-6
96,B1-2,B12-1,B29-11,B13-2,B29-7
97,None,B29-11,B29-11,B13-2,B5-2
98,B29-11,B29-10,B29-10,B13-2,B29-11
99,B30-2,B29-9,B29-10,B13-2,B30-2
100,B31-2,B29-10,B29-10,B13-2,B29+-1
101,B10-1,B29-10,B29-10,B13-2,B29-11
102,B29-9,B29-10,B29-10,B13-2,B29-8
103,B29-9,B29-11,B29-10,B29-11,B29-9
104,B10-1,B29-11,B29-10,B29-11,B29-10
105,B29-11,B29-10,B29-10,B29-11,B29-10
106,B29-10,B29-10,B29-10,B29-11,B29-10
107,B29-10,B29-10,B29-10,B29-11,B29-10
108,B29-10,B29-10,B29-10,B29-11,B29-10
109,B29-10,B29-10,B29-10,B29-11,B29-10
110,B29-10,B29-10,B29-11,B29-11,B29-10
111,B29-9,B29-10,B29-10,B29-11,B29-10
112,B29-10,B29-10,B29-10,B29-11,B29-9
113,B29-9,B29-11,B14-1,B29-11,B29-9
114,B29-9,B29-11,B14-1,B29-11,B29-11
115,B31-1,B29-11,B29-11,B29-11,B13-2
116,B29-9,B29-11,B13-2,B29-11,B29-11
117,B29-10,B14-1,B15-2,B29-11,B29+-1
118,B39-2,B29+-1,B30-4,B29-11,B34-2
119,B15-2,B29+-1,B16-1,B29-11,B14-1
120,B2-2,B16-1,B16-1,B29-11,B8-1
121,B31-2,B15-2,B16-1,B29-11,B13-2
122,B21-1,B16-1,B16-1,B29-11,B37-1
123,B37-2,B16-1,B16-1,B29-11,B21-2
124,B15-2,B15-2,B14-1,B13-2,B31-1
125,B15-2,B15-2,B15-2,B13-2,B15-1
126,B15-1,B15-2,B14-1,B13-2,B16-2
127,B15-2,B16-1,B15-2,B13-2,B15-2
128,B29-11,B16-1,B30-4,B13-2,B29-11
129,B10-1,B16-1,B31-1,B13-2,B12-1
130,B15-2,B16-1,B32-2,B13-2,B11-2
131,B10-1,B16-1,B31-1,B13-2,B16-1
132,B39-2,B29+-1,B30-4,B13-2,B33-1
133,B34-1,B14-1,B13-2,B13-2,B37-4
134,B37-1,B14-1,B13-2,B13-2,B35-4
135,B34-1,B16-1,B15-2,B13-2,B32-2
136,B10-1,B15-2,B14-1,B13-2,B13-2
137,B10-1,B15-2,B13-2,B13-2,B6-1
138,B1-2,B13-2,B12-1,B13-2,B5-2
139,B29-11,B14-1,B14-1,B13-2,B13-2
140,B25-1,B13-2,B14-1,B13-2,B19-2
141,B10-1,B13-2,B15-2,B13-2,B14-2
142,B7-1,B14-1,B16-1,B13-2,B6-2
143,B10-2,B15-2,B17-2,B13-2,B15-1
144,B27-2,B16-1,B16-1,B13-2,B19-2
145,B13-2,B15-2,B15-2,B13-2,B20-1
146,B34-2,B15-2,B17-2,B13-2,B31-1
147,B33-1,B15-2,B15-2,B13-2,B35-1
148,B34-2,B16-1,B15-2,B13-2,B31-1
149,B10-1,B17-2,B15-2,B13-2,B29-9
150,B7-2,B15-2,B15-2,B13-2,B14-1
151,B27-2,B15-2,B14-1,B13-2,B16-1
152,B8-1,B15-2,B14-1,B13-2,B16-1
153,B15-2,B15-2,B14-1,B13-2,B12-1
154,B15-2,B14-1,B14-1,B13-2,B16-1
155,B15-2,B15-2,B16-1,B13-2,B14-1
156,B29-11,B16-1,B16-1,B13-2,B14-1
157,B15-2,B14-1,B14-1,B13-2,B14-1
158,B15-2,B14-1,B14-1,B13-2,B14-1
159,B13-2,B14-1,B14-1,B13-2,B18-1
160,B25-1,B14-1,B14-1,B13-2,B21-2
161,B15-2,B15-2,B15-2,B13-2,B14-1
162,B2-1,B15-2,B15-2,B13-2,B8-1
163,B15-2,B15-2,B15-2,B13-2,B11-2
164,B15-2,B15-2,B15-2,B13-2,B15-2
165,B13-2,B15-2,B14-1,B13-2,B17-2
166,B36-1,B13-2,B13-2,B13-2,B31-1
167,B29-11,B13-2,B13-2,B13-2,B30-4
168,B15-2,B14-1,B14-1,B13-2,B14-1
169,B15-2,B14-1,B13-2,B13-2,B15-2
170,B29-11,B14-1,B13-2,B13-2,B11-2
171,B7-1,B13-2,B12-1,B13-2,B10-1
172,B15-2,B12-1,B11-2,B13-2,B13-1
173,B15-2,B12-1,B12-1,B13-2,B15-2
174,B29-11,B13-2,B13-2,B13-2,B13-2
175,B29-11,B14-1,B15-2,B13-2,B29-10
176,B8-1,B14-1,B15-2,B13-2,B7-2
177,B5-1,B15-2,B16-1,B13-2,B8-1
178,B31-1,B16-1,B31-1,B13-2,B15-2
179,B21-2,B16-1,B17-2,B13-2,B37-1
180,B39-2,B16-1,B18-1,B13-2,B36-2
181,B15-2,B17-2,B18-1,B13-2,B17-2
182,B15-2,B18-1,B19-2,B13-2,B18-1
183,B39-2,B20-1,B20-1,B13-2,B34-2
184,B15-2,B34-2,B34-2,B13-2,B21-2
185,B22-2,B33-1,B33-1,B13-2,B17-1
186,B15-2,B18-1,B18-1,B13-2,B20-1
187,B37-1,B18-1,B18-1,B14-1,B35-1
188,B37-1,B18-1,B16-1,B14-1,B37-2
189,B31-2,B17-2,B15-2,B14-1,B32-2
190,B15-2,B17-2,B15-2,B14-1,B15-2
191,B15-2,B16-1,B14-1,B14-1,B16-1
192,B15-2,B16-1,B14-1,B14-1,B12-1
193,B6-2,B14-1,B13-2,B14-1,B11-1
194,B15-1,B15-2,B15-2,B14-1,B12-2
195,B15-2,B14-1,B14-1,B14-1,B14-2
196,B10-2,B13-2,B13-2,B14-1,B14-1
197,B31-2,B13-2,B13-2,B14-1,B29-11
198,B10-1,B29-11,B29-11,B14-1,B32-2
199,B39-2,B13-2,B29-11,B14-1,B31-1
200,B29-9,B29-11,B29-11,B14-1,B29+-1
201,B29-9,B29-11,B29-11,B14-1,B29-8
202,B29-9,B29-11,B29-10,B14-1,B29-9
203,B29-9,B29-11,B29-10,B14-1,B29-9
204,B29-10,B29-11,B29-10,B14-1,B29-10
205,B29-10,B29-10,B29-10,B14-1,B29-10
206,B29-10,B29-10,B29-10,B14-1,B29-10
207,B29-10,B29-10,B29-11,B13-2,B29-10
208,B29-10,B29-10,B29-11,B13-2,B29-10
209,B29-11,B29-11,B29-11,B13-2,B29-11
210,B29-11,B29-11,B29-11,B13-2,B29-11
211,B29-11,B29-11,B29-11,B13-2,B29-11
212,B29-11,B29-11,B29-11,B13-2,B29-11
213,B29-11,B29-11,B29-11,B13-2,B29-11
214,B29-11,B29-11,B29-11,B13-2,B29-11
215,B29-11,B29-11,B13-2,B13-2,B29-11
216,B29-11,B29-11,B29-11,B13-2,B29-11
217,B29-11,B29-11,B14-1,B13-2,B29-11
218,B29-11,B13-2,B14-1,B13-2,B29-10
219,B29-11,B13-2,B14-1,B13-2,B29+-1
220,B34-2,B14-1,B30-4,B13-2,B29-10
221,B2-1,B29+-1,B30-4,B13-2,B14-1
222,B39-1,B16-1,B18-1,B13-2,B15-2
223,B14-1,B16-1,B17-2,B13-2,B17-2
224,B29-11,B15-2,B14-1,B13-2,B15-2
225,B39-1,B16-1,B17-2,B13-2,B34-2
226,B33-1,B17-2,B18-1,B13-2,B37-1
227,B22-2,B18-1,B17-2,B14-1,B19-2
228,B29-11,B17-2,B31-1,B14-1,B10-1
229,B1-1,B31-1,B32-2,B13-2,B10-1
230,B27-2,B32-2,B32-2,B14-1,B20-1
231,B39-2,B32-2,B32-2,B14-1,B38-2
232,B29-11,B32-2,B32-2,B14-1,B30-4
233,B31-2,B31-1,B33-1,B14-1,B29+-1
234,B33-1,B32-2,B33-2,B14-1,B33-1
235,B34-2,B34-2,B33-4,B14-1,B34-2
236,B33-3,B33-2,B33-4,B14-1,B33-2
237,B33-3,B33-2,B33-4,B14-1,B33-2
238,B33-4,B33-4,B33-4,B14-1,B33-4
239,B35-2,B33-4,B33-4,B14-1,B35-2
240,B33-4,B33-4,B33-4,B14-1,B33-4
241,B34-1,B33-4,B33-4,B14-1,B33-4
242,B34-1,B33-4,B33-4,B14-1,B33-4
243,B34-1,B33-4,B33-4,B14-1,B33-4
244,B34-1,B33-4,B33-4,B14-1,B33-4
245,B34-1,B33-4,B33-4,B14-1,B33-4
246,B33-3,B33-4,B33-4,B14-1,B33-4
247,B33-4,B33-4,B33-4,B14-1,B33-4
248,B33-4,B33-4,B33-4,B14-1,B33-4
249,B33-3,B33-4,B33-4,B14-1,B33-4
250,B33-4,B33-4,B33-4,B14-1,B33-4
251,B33-4,B33-4,B33-4,B14-1,B33-4
252,B33-4,B33-4,B33-2,B14-1,B33-4
253,B33-4,B33-4,B33-2,B14-1,B33-4
254,B33-4,B33-2,B33-2,B14-1,B33-4
255,B33-3,B33-2,B33-2,B14-1,B33-2
256,B33-2,B33-2,B33-2,B14-1,B33-2
257,B33-3,B33-2,B33-2,B14-1,B33-2
258,B33-3,B33-2,B33-2,B14-1,B33-2
259,B33-3,B33-2,B33-2,B14-1,B33-2
260,B33-3,B33-2,B33-2,B14-1,B33-2
261,B33-2,B33-2,B33-2,B14-1,B33-2
262,B33-2,B33-2,B33-2,B14-1,B33-2
263,B33-2,B33-2,B33-2,B14-1,B33-2
264,B33-2,B33-2,B33-2,B14-1,B33-2
265,B33-2,B33-2,B33-2,B14-1,B33-2
266,B33-2,B33-2,B33-2,B14-1,B33-2
267,B33-3,B33-2,B33-2,B14-1,B33-2
268,B33-3,B33-2,B33-1,B29+-1,B33-2
269,B33-3,B33-2,B33-1,B29+-1,B33-2
270,B33-1,B33-1,B33-1,B29+-1,B33-1
271,B33-1,B33-1,B33-1,B29+-1,B33-1
272,B33-1,B32-2,B30-4,B29+-1,B33-1
273,B33-1,B32-2,B31-1,B29+-1,B33-1
274,B33-1,B32-2,B31-1,B29+-1,B33-1
275,B33-1,B32-2,B31-1,B29+-1,B33-4
276,B31-2,B32-2,B18-1,B29+-1,B29-11
277,B4-2,B32-2,B18-1,B29+-1,B29-11
278,B37-2,B18-1,B18-1,B29+-1,B15-2
279,B15-2,B18-1,B18-1,B29+-1,B34-2
280,B20-1,B18-1,B19-2,B29+-1,B18-1
281,B20-1,B18-1,B19-2,B29+-1,B20-1
282,B20-1,B18-1,B19-2,B29+-1,B20-1
283,B20-1,B20-1,B20-1,B29+-1,B20-1
284,B20-1,B19-2,B20-1,B29+-1,B20-1
285,B20-1,B20-1,B20-1,B29+-1,B20-1
286,B20-1,B20-1,B20-1,B29+-1,B20-1
287,B20-1,B20-1,B20-1,B29+-1,B20-1
288,B20-1,B20-1,B20-1,B29+-1,B20-1
289,B20-2,B20-1,B20-1,B29+-1,B20-2
290,B20-2,B20-1,B20-1,B29+-1,B20-2
291,B20-1,B20-1,B20-1,B15-2,B20-1
292,B20-1,B20-1,B21-2,B15-2,B20-1
293,B20-1,B21-2,B35-1,B15-2,B20-1
294,B20-1,B20-1,B20-1,B15-2,B20-1
295,B20-1,B20-1,B19-2,B15-2,B20-1
296,B36-2,B19-2,B19-2,B15-2,B35-1
297,None,B18-1,B17-2,B15-2,B37-2
298,B37-2,B19-2,B32-2,B29+-1,B35-1
299,B15-2,B33-1,B33-1,B15-2,B17-2
300,None,B33-1,B33-1,B15-2,B15-2
301,B15-2,B33-1,B18-1,B15-2,B13-2
302,B10-1,B18-1,B18-1,B15-2,B15-2
303,B37-2,B18-1,B19-2,B15-2,B33-2
304,B37-2,B18-1,B19-2,B29+-1,B38-2
305,B21-1,B19-2,B20-1,B15-2,B20-1
306,B15-2,B19-2,B20-1,B15-2,B17-1
307,None,B20-1,B21-2,B15-2,B18-1
308,B22-2,B21-2,B21-2,B15-2,B21-1
309,B22-2,B21-2,B21-2,B15-2,B22-2
310,B22-2,B21-1,B21-2,B15-2,B22-2
311,B22-2,B21-2,B22-1,B15-2,B22-2
312,B22-1,B21-2,B22-1,B15-2,B22-1
313,B22-1,B21-2,B20-1,B15-2,B22-1
314,B22-1,B21-2,B20-1,B15-2,B22-1
315,B22-1,B21-2,B20-1,B15-2,B22-1
316,B22-1,B21-2,B21-2,B15-2,B23-2
317,B22-1,B21-2,B21-2,B15-2,B18-1
318,B29-11,B21-2,B21-2,B15-2,B17-2
319,B22-1,B21-2,B21-2,B15-2,B18-1
320,B22-1,B21-2,B21-2,B15-2,B23-2
321,B22-1,B21-2,B22-1,B15-2,B22-1
322,B22-1,B21-2,B22-1,B15-2,B22-1
323,B22-2,B21-2,B22-1,B16-1,B22-2
324,B22-2,B22-1,B22-1,B16-1,B21-1
325,B22-1,B22-1,B23-2,B16-1,B23-2
326,B25-2,B22-1,B21-2,B16-1,B23-2
327,B19-2,B22-1,B21-2,B16-1,B22-1
328,B22-2,B22-1,B21-2,B16-1,B21-1
329,B23-2,B22-1,B21-2,B16-1,B24-1
330,B39-1,B22-1,B21-2,B16-1,B36-2
331,B15-2,B22-1,B21-1,B16-1,B20-1
332,B22-2,B21-2,B21-1,B16-1,B19-1
333,B22-2,B22-2,B22-2,B16-1,B22-2
334,B22-2,B22-2,B22-2,B16-1,B22-2
335,B22-2,B21-1,B22-2,B16-1,B22-2
336,B22-2,B21-1,B22-2,B16-1,B22-2
337,B22-2,B22-2,B22-2,B16-1,B22-2
338,B22-2,B22-2,B22-2,B16-1,B22-2
339,B22-2,B22-2,B22-2,B16-1,B22-2
340,B22-2,B22-2,B22-2,B16-1,B22-2
341,B22-2,B22-2,B22-2,B16-1,B22-2
342,B22-2,B22-2,B22-2,B16-1,B22-2
343,B22-2,B22-2,B22-2,B16-1,B22-2
344,B22-2,B22-2,B22-2,B16-1,B22-2
345,B22-2,B22-2,B22-2,B16-1,B22-2
346,B22-2,B22-2,B22-2,B16-1,B22-2
347,B22-2,B22-2,B22-2,B16-1,B22-2
348,B22-2,B22-2,B22-2,B16-1,B22-2
349,B22-2,B22-2,B22-2,B16-1,B22-2
350,B22-2,B22-2,B22-2,B16-1,B22-2
351,B22-2,B22-2,B22-2,B16-1,B22-2
352,B22-2,B22-2,B22-2,B16-1,B22-2
353,B22-2,B22-2,B22-2,B16-1,B22-2
354,B22-2,B22-2,B22-2,B16-1,B22-2
355,B22-2,B22-2,B22-2,B16-1,B22-2
356,B22-2,B22-2,B22-2,B16-1,B22-2
357,B22-2,B22-2,B22-2,B16-1,B22-2
358,B22-2,B22-2,B22-2,B16-1,B22-2
359,B22-2,B22-2,B22-2,B16-1,B22-2
360,B22-2,B22-2,B22-2,B16-1,B22-2
361,B22-2,B22-2,B22-2,B16-1,B22-2
362,B22-2,B22-2,B22-2,B16-1,B22-2
363,B22-2,B22-2,B22-2,B16-1,B22-2
364,B22-2,B22-2,B22-2,B16-1,B22-2
365,B22-2,B22-2,B22-2,B16-1,B22-2
366,B22-2,B22-2,B22-2,B16-1,B22-2
367,B22-2,B22-2,B22-2,B16-1,B22-2
368,B22-2,B22-2,B22-2,B16-1,B22-2
369,B22-2,B22-2,B22-2,B16-1,B22-2
370,B22-2,B22-2,B22-2,B16-1,B22-2
371,B22-2,B22-2,B22-2,B16-1,B22-2
372,B22-2,B22-2,B22-2,B17-2,B22-2
373,B22-2,B22-2,B22-2,B17-2,B22-2
374,B22-2,B22-2,B22-2,B17-2,B22-2
375,B22-2,B22-2,B22-2,B17-2,B22-2
